Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
227,0.2103,0.1741,0.2080,0.0700,0.2780,2.1874,-0.1583
228,0.2151,0.2148,0.1597,0.0480,0.2078,2.3163,-0.1631
229,0.2151,0.1988,0.2071,0.0485,0.2556,2.3608,-0.0882
230,0.2115,0.2168,0.2154,0.0640,0.2794,2.3247,-0.1378
231,0.2103,0.1653,0.1964,0.0751,0.2715,2.1869,-0.1559
232,0.2127,0.2180,0.2078,0.0644,0.2722,2.3958,-0.1619
233,0.2103,0.2172,0.2190,0.0661,0.2851,2.4965,-0.1511
234,0.2187,0.1930,0.2065,0.0474,0.2539,2.3645,-0.1003
235,0.2308,0.2224,0.1669,0.0649,0.2317,2.3331,-0.1474
236,0.2187,0.1958,0.1921,0.0608,0.2529,2.1904,-0.1643
237,0.2139,0.2070,0.2080,0.0473,0.2553,2.3779,-0.1462
238,0.2079,0.1968,0.2219,0.0484,0.2703,2.4048,-0.1643
239,0.2127,0.1877,0.2070,0.0484,0.2554,2.3764,-0.1656
240,0.2163,0.2212,0.2033,0.0485,0.2518,2.3380,-0.1390
241,0.2030,0.1971,0.2180,0.0480,0.2660,2.5964,-0.1051
242,0.2115,0.2113,0.2067,0.0492,0.2559,2.4435,-0.1619
243,0.2199,0.2170,0.2078,0.0485,0.2563,2.4856,-0.1317
244,0.2054,0.2239,0.2082,0.0477,0.2559,2.4369,-0.1559
245,0.2224,0.2049,0.1929,0.0634,0.2563,2.2173,-0.1486
246,0.2079,0.2150,0.2070,0.0491,0.2560,2.4438,-0.0979
247,0.2236,0.2192,0.2077,0.0481,0.2559,2.3690,-0.1643
248,0.2054,0.2285,0.2079,0.0644,0.2723,2.2839,-0.1571
249,0.2127,0.2277,0.1930,0.0629,0.2560,2.1769,-0.1716
250,0.2163,0.2244,0.1927,0.0642,0.2569,2.2281,-0.1426
251,0.2211,0.2098,0.2084,0.0635,0.2719,2.4795,-0.1825
252,0.2163,0.1830,0.2029,0.0629,0.2657,2.3479,-0.1003
253,0.2115,0.2145,0.2082,0.0633,0.2715,2.4588,-0.1704
254,0.2224,0.2182,0.2076,0.0480,0.2556,2.5051,-0.1837
255,0.2187,0.2036,0.2080,0.0485,0.2565,2.4896,-0.1776
256,0.2224,0.2264,0.2079,0.0635,0.2713,2.3977,-0.1583
257,0.2224,0.2132,0.2084,0.0474,0.2558,2.5275,-0.1716
258,0.2199,0.1862,0.2084,0.0525,0.2609,2.3337,-0.1607
259,0.2163,0.2251,0.2063,0.0480,0.2544,2.4474,-0.1607
260,0.2211,0.1883,0.2081,0.0638,0.2719,2.3551,-0.1692
