Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
73,0.2597,0.3904,20.8431,17.2284,38.0715,4.0500,-0.0220
74,0.2652,0.4015,20.7368,17.5016,38.2384,4.0500,-0.0231
75,0.2713,0.4128,20.7154,17.7309,38.4463,4.0500,-0.0234
76,0.2777,0.4243,20.8401,17.2490,38.0891,4.0320,-0.0239
77,0.2835,0.4356,20.8568,17.4919,38.3487,4.0351,-0.0234
78,0.2895,0.4463,20.9153,17.4765,38.3918,4.0257,-0.0223
79,0.2959,0.4582,20.9023,17.7482,38.6505,4.0361,-0.0199
80,0.3029,0.4708,20.7075,18.0431,38.7506,4.0500,-0.0196
81,0.3086,0.4818,20.8405,17.9834,38.8239,4.0423,-0.0185
82,0.3147,0.4929,20.8056,18.2524,39.0579,4.0475,-0.0173
83,0.3205,0.5050,20.7292,18.2435,38.9726,4.0484,-0.0172
84,0.3257,0.5161,20.6852,18.7957,39.4809,4.0500,-0.0168
85,0.3302,0.5262,20.9202,18.9825,39.9027,4.0500,-0.0182
86,0.3368,0.5385,20.6563,19.0369,39.6932,4.0500,-0.0162
87,0.3408,0.5494,20.7897,18.5549,39.3445,4.0456,-0.0134
88,0.3457,0.5603,20.8304,19.0219,39.8523,4.0500,-0.0111
89,0.3507,0.5704,20.9139,19.1777,40.0916,4.0500,-0.0084
90,0.3554,0.5800,20.9141,19.2326,40.1467,4.0501,-0.0058
91,0.3598,0.5898,20.7936,19.2922,40.0858,4.0500,-0.0044
92,0.3643,0.6002,20.8199,19.4689,40.2888,4.0500,-0.0033
93,0.3689,0.6098,20.7361,19.4766,40.2127,4.0500,-0.0024
94,0.3749,0.6201,20.7193,19.7146,40.4339,4.0500,-0.0000
95,0.3810,0.6291,20.7024,19.7146,40.4170,4.0500,0.0000
96,0.3864,0.6396,20.8455,19.5401,40.3856,4.0500,0.0000
97,0.3925,0.6491,20.8470,19.5412,40.3882,4.0500,-0.0002
98,0.3992,0.6600,20.7304,19.7258,40.4563,4.0500,-0.0013
99,0.4054,0.6701,20.6668,19.7946,40.4614,4.0500,-0.0006
100,0.4101,0.6782,20.6706,19.4806,40.1512,4.0500,-0.0010
101,0.4127,0.6868,20.8408,19.2422,40.0830,4.0500,-0.0042
102,0.4165,0.6956,20.8971,19.2325,40.1297,4.0500,-0.0051
103,0.4195,0.7076,20.8543,19.2358,40.0901,4.0501,-0.0074
104,0.4333,0.7233,20.8318,18.9798,39.8116,4.0500,-0.0081
105,0.4135,0.7188,20.9504,19.2355,40.1858,4.0500,-0.0106
106,0.4178,0.7304,20.8486,18.9142,39.7628,4.0344,-0.0106
107,0.4227,0.7425,20.8366,19.4560,40.2926,4.0500,-0.0100
108,0.4263,0.7543,20.6494,19.2774,39.9268,4.0500,-0.0089
109,0.4304,0.7660,20.6786,19.4803,40.1589,4.0492,-0.0074
110,0.4344,0.7755,20.7732,19.7877,40.5609,4.0501,-0.0063
111,0.4383,0.7878,20.6624,19.7733,40.4357,4.0500,-0.0041
112,0.4433,0.7984,20.7091,20.2296,40.9387,4.0500,-0.0025
113,0.4479,0.8108,20.7800,19.7284,40.5083,4.0464,-0.0002
114,0.4522,0.8219,20.9075,20.0259,40.9334,4.0500,0.0000
115,0.4564,0.8331,20.6377,20.5194,41.1570,4.0500,0.0000
116,0.4615,0.8455,20.8834,20.2293,41.1127,4.0500,0.0000
117,0.4668,0.8599,20.8978,20.4719,41.3697,4.0500,0.0000
118,0.4722,0.8753,20.8347,NaN,NaN,4.0435,0.0000
119,0.4777,0.8899,20.6379,NaN,NaN,4.0500,0.0000
120,0.4826,0.9065,20.7435,NaN,NaN,4.0496,0.0000
121,0.4890,0.9217,20.8276,NaN,NaN,4.0332,0.0000
122,0.4925,0.9356,20.6463,NaN,NaN,4.0500,0.0000
123,0.4978,0.9498,20.7619,NaN,NaN,4.0501,0.0000
124,0.5028,0.9637,20.8315,NaN,NaN,4.0500,0.0000
125,0.5073,0.9793,20.8777,NaN,NaN,4.0500,0.0000
126,0.5125,0.9927,20.8459,NaN,NaN,4.0500,0.0000
127,0.5173,1.0075,20.7776,NaN,NaN,4.0500,0.0000
128,0.5217,1.0211,20.6506,NaN,NaN,4.0500,0.0000
129,0.5255,1.0362,20.6417,NaN,NaN,4.0500,0.0000
130,0.5291,1.0487,20.8976,NaN,NaN,4.0501,0.0000
131,0.5388,1.0627,20.6567,NaN,NaN,4.0500,0.0000
132,0.5457,1.0782,20.8395,NaN,NaN,4.0500,0.0000
133,0.5530,1.0935,20.7811,NaN,NaN,4.0500,0.0000
134,0.5492,1.1050,20.8443,NaN,NaN,4.0500,0.0000
135,0.5528,1.1182,20.7281,NaN,NaN,4.0500,0.0000
136,0.5560,1.1309,20.9094,NaN,NaN,4.0500,0.0000
137,0.5610,1.1453,20.8327,NaN,NaN,4.0501,0.0000
138,0.5644,1.1575,20.7090,NaN,NaN,4.0500,0.0000
139,0.5686,1.1728,20.6484,NaN,NaN,4.0500,0.0000
140,0.5738,1.1872,20.7106,NaN,NaN,4.0490,0.0000
141,0.5783,1.2014,20.8256,NaN,NaN,4.0409,0.0000
142,0.5822,1.2139,20.9098,NaN,NaN,4.0500,0.0000
143,0.5873,1.2284,20.8313,NaN,NaN,4.0501,0.0000
144,0.5918,1.2417,20.6596,NaN,NaN,4.0500,0.0000
145,0.5965,1.2561,20.7175,NaN,NaN,4.0500,0.0000
146,0.6010,1.2723,20.8363,NaN,NaN,4.0288,0.0000
147,0.6057,1.2847,20.7100,NaN,NaN,4.0500,0.0000
148,0.6099,1.3007,20.8342,NaN,NaN,4.0420,0.0000
149,0.6150,1.3145,20.7730,NaN,NaN,4.0422,0.0000
150,0.6204,1.3284,20.7284,NaN,NaN,4.0444,0.0000
151,0.6242,1.3402,20.6548,NaN,NaN,4.0500,0.0000
152,0.6302,1.3556,20.7821,NaN,NaN,4.0451,0.0000
153,0.6360,1.3691,20.7204,NaN,NaN,4.0473,0.0000
154,0.6426,1.3817,20.6669,NaN,NaN,4.0500,0.0000
155,0.6508,1.3944,20.6669,NaN,NaN,4.0500,0.0000
156,0.6583,1.4116,20.7211,NaN,NaN,4.0500,0.0000
157,0.6590,1.4261,20.8420,NaN,NaN,4.0501,0.0000
158,0.6606,1.4426,20.7332,NaN,NaN,4.0500,0.0000
159,0.6633,1.4493,20.7298,NaN,NaN,4.0500,0.0000
160,0.6706,1.4664,20.7699,NaN,NaN,4.0500,0.0000
161,0.6779,1.4814,20.6585,NaN,NaN,4.0500,0.0000
162,0.6879,1.4979,20.7692,NaN,NaN,4.0500,0.0000
163,0.6981,1.5143,20.6504,NaN,NaN,4.0501,0.0000
164,0.7048,1.5309,20.8399,NaN,NaN,4.0500,0.0000
165,0.6984,1.5441,20.8890,NaN,NaN,4.0340,0.0000
166,0.6998,1.5560,20.6067,NaN,NaN,4.0500,0.0000
167,0.7055,1.5734,20.8093,NaN,NaN,4.0361,0.0000
168,0.7152,1.5937,20.8447,NaN,NaN,4.0500,0.0000
169,0.7272,1.6158,20.7229,NaN,NaN,4.0500,0.0000
