Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
99,0.0366,0.0461,2.2273,0.7459,2.9732,1.7698,-0.0295
100,0.0383,0.0449,2.3417,0.5256,2.8673,1.9647,-0.0293
101,0.0368,0.0452,2.2357,0.7752,3.0110,1.7796,-0.0289
102,0.0379,0.0471,2.2139,0.7426,2.9565,1.7753,-0.0271
103,0.0375,0.0457,2.3894,0.4958,2.8852,2.0368,-0.0294
104,0.0384,0.0454,2.3607,0.4965,2.8572,1.9948,-0.0285
105,0.0378,0.0456,2.2951,0.7757,3.0708,1.8653,-0.0285
106,0.0387,0.0467,2.3833,0.4956,2.8789,2.0029,-0.0287
107,0.0370,0.0457,2.2605,0.7451,3.0056,1.8171,-0.0285
108,0.0389,0.0457,2.3286,0.4642,2.7929,1.9250,-0.0288
109,0.0370,0.0471,2.1726,0.7783,2.9509,1.6981,-0.0289
110,0.0366,0.0472,2.2076,0.7427,2.9502,1.7525,-0.0289
111,0.0401,0.0470,2.3543,0.4971,2.8514,1.9705,-0.0294
112,0.0396,0.0481,2.2331,0.8043,3.0374,1.8016,-0.0300
113,0.0413,0.0490,2.4330,0.5259,2.9589,2.0926,-0.0298
114,0.0454,0.0498,2.3407,0.7454,3.0861,1.9583,-0.0347
115,0.0412,0.0478,2.3242,0.7722,3.0964,1.9266,-0.0363
116,0.0434,0.0521,2.4980,0.5271,3.0252,2.2090,-0.0385
117,0.0453,0.0526,2.3498,0.7138,3.0636,1.9790,-0.0407
118,0.0404,0.0497,2.2996,0.7116,3.0112,1.9188,-0.0418
119,0.0416,0.0493,2.3225,0.7135,3.0359,1.9462,-0.0433
120,0.0440,0.0501,2.5434,0.4331,2.9765,2.2761,-0.0442
121,0.0462,0.0517,2.4874,0.4973,2.9847,2.2012,-0.0488
122,0.0418,0.0490,2.3727,0.7453,3.1180,2.0304,-0.0497
123,0.0396,0.0479,2.5192,0.4934,3.0126,2.2257,-0.0491
124,0.0396,0.0473,2.4191,0.7443,3.1634,2.0886,-0.0478
125,0.0376,0.0474,2.3249,0.7376,3.0625,1.9437,-0.0508
126,0.0394,0.0464,2.4318,0.4977,2.9294,2.1401,-0.0489
127,0.0394,0.0470,2.4253,0.7718,3.1970,2.0662,-0.0518
128,0.0380,0.0453,2.4106,0.7443,3.1549,2.0654,-0.0518
129,0.0383,0.0476,2.3207,0.7491,3.0698,1.9475,-0.0522
130,0.0373,0.0460,2.3422,0.7421,3.0843,1.9731,-0.0521
131,0.0376,0.0464,2.5710,0.4938,3.0647,2.2895,-0.0522
132,0.0393,0.0452,2.3876,0.4961,2.8837,2.0490,-0.0526
133,0.0386,0.0444,2.4569,0.5148,2.9716,2.1306,-0.0522
134,0.0395,0.0471,2.5073,0.4969,3.0042,2.2182,-0.0521
135,0.0389,0.0460,2.4908,0.5293,3.0201,2.2069,-0.0522
136,0.0377,0.0442,2.3930,0.5608,2.9537,2.0153,-0.0521
137,0.0399,0.0458,2.4678,0.4937,2.9615,2.1492,-0.0519
138,0.0385,0.0442,2.4190,0.4947,2.9136,2.0698,-0.0522
139,0.0361,0.0446,2.2954,0.7449,3.0403,1.8878,-0.0520
140,0.0387,0.0458,2.3915,0.7782,3.1697,2.0365,-0.0516
141,0.0386,0.0456,2.4518,0.5285,2.9802,2.1482,-0.0521
142,0.0381,0.0454,2.5081,0.5210,3.0291,2.1090,-0.0517
143,0.0370,0.0443,2.3866,0.7416,3.1282,2.0041,-0.0515
144,0.0390,0.0457,2.4507,0.4953,2.9460,2.1363,-0.0510
145,0.0368,0.0445,2.3211,0.7462,3.0673,1.9276,-0.0512
146,0.0373,0.0466,2.3214,0.7411,3.0625,1.9374,-0.0513
147,0.0383,0.0462,2.5386,0.4630,3.0015,2.2699,-0.0507
