Layer,Peak_Peel_Force_N,Work_of_Adhesion_mJ,Time_to_Peel_Start_s,Peel_Time_s,Total_Peel_Time_s,Distance_to_Peel_Start_mm,Peak_Retraction_Force_N
274,0.3758,0.4443,0.2240,0.1193,0.3434,2.7888,-0.0858
275,0.3287,0.2951,0.2575,0.0611,0.3186,3.4118,-0.0785
276,0.3408,0.2830,0.2182,0.0937,0.3119,3.0752,-0.0918
277,0.3106,0.3642,0.2185,0.0990,0.3175,2.9241,-0.0725
278,0.3734,0.3285,0.2464,0.0630,0.3095,3.3345,-0.0943
279,0.4024,0.3579,0.2488,0.0621,0.3108,3.5037,-0.0931
280,0.4085,0.4136,0.2660,0.0307,0.2968,3.7068,-0.0906
281,0.3831,0.2713,0.2176,0.0616,0.2793,3.1440,-0.0882
282,0.3504,0.3408,0.2642,0.0310,0.2952,3.4970,-0.0882
283,0.3867,0.2878,0.2306,0.0624,0.2930,3.3533,-0.0640
284,0.3650,0.4285,0.2171,0.0630,0.2801,3.1440,-0.0785
285,0.3263,0.3113,0.2333,0.0619,0.2952,2.9075,-0.1003
286,0.3903,0.2676,0.2504,0.0618,0.3122,3.3708,-0.0834
287,0.4097,0.4266,0.2316,0.0791,0.3107,3.0982,-0.0532
288,0.3637,0.4049,0.2499,0.0519,0.3018,3.2318,-0.0991
289,0.4072,0.4138,0.2484,0.0537,0.3021,3.4601,-0.0931
290,0.3819,0.3016,0.2168,0.0929,0.3097,2.9320,-0.0640
291,0.4302,0.2981,0.2187,0.0631,0.2818,3.2025,-0.0882
292,0.4181,0.4662,0.2631,0.0618,0.3249,3.7241,-0.0991
293,0.4000,0.4018,0.2278,0.0467,0.2745,3.3744,-0.0931
294,0.2864,0.3956,0.2476,0.0686,0.3163,3.4614,-0.0798
295,0.4483,0.4592,0.2490,0.0479,0.2969,3.5498,-0.0943
296,0.3964,0.2967,0.2491,0.0615,0.3105,3.4735,-0.1003
297,0.4350,0.5178,0.2397,0.0559,0.2956,3.3470,-0.0798
298,0.3915,0.4538,0.2045,0.0878,0.2924,2.9733,-0.0931
299,0.3637,0.4550,0.2323,0.0924,0.3248,3.2632,-0.1039
300,0.2647,0.3335,0.1433,0.0855,0.2288,2.6052,-0.0846
301,0.3758,0.3339,0.2309,0.0947,0.3256,3.2495,-0.0677
302,0.4085,0.3382,0.2309,0.0604,0.2913,3.0052,-0.0749
303,0.4387,0.3883,0.2166,0.0626,0.2792,3.2290,-0.1039
304,0.4350,0.3350,0.2355,0.0809,0.3164,3.3359,-0.0556
305,0.3964,0.3809,0.2635,0.0766,0.3401,3.5343,-0.0943
306,0.4544,0.5057,0.2371,0.1053,0.3424,3.1260,-0.0967
